"","Father","Mothers","Sons","Daughters"
"Sample","","","",""
"N","16,905","16,905","52,367","49,210"
"Birth cohorts","1741-1842","1768-1844","1812-1886","1812-1885"
"Age at death","","","",""
"-available","16,905","16,905","41,748 (79.7%)","39,766 (80.8%)"
"-censored","-","-","04,318 (08.2%)","04,821 (09.8%)"
"-missing","-","-","06,301 (12.0%)","04,623 (09.4%)"
"Demographic indicators","",,"",
"Age at death*","62.6 (15.6)","62.9 (17.4)","30.0 (33.1)","32.2 (33.3)"
"Mode lifespan","71","72","0","0"
"Age at last birth*","41.1 (8.1)","37.5 (5.9)","39.8 (7.5)","36.8 (6.2)"
"Number of offspring*","6.6 (4.0)","6.3 (3.8)","6.5 (4.0)","6.2 (3.8)"
"Birth spacing*","2.1 (1.3)","2.1 (1.3)","2.2 (1.3)","2.2 (1.3)"
"Migrated within Zeeland","15.9%","15.9%","20.1%","20.0%"
"Father died before ego was 5*","-","-","6.3%","6.0%"
"Mother died before ego was 5*","-","-","6.2%","6.2%"
"Age father at birth*","-","-","34.8 (7.5)","34.8 (7.5)"
"Age mother at birth*","-","-","31.8 (6.0)","31.8 (6.0)"
"Number sibs alive at birth ego*","-","-","2.4 (2.2)","2.4 (2.2)"
